iter	Logloss
0	0.6923294614
1	0.691574737
2	0.6908489372
3	0.6901395675
4	0.6894141425
5	0.6888430233
6	0.6880437564
7	0.6875529763
8	0.686901768
9	0.6865298096
10	0.6861860886
11	0.6856891238
12	0.6851784151
13	0.6847604148
14	0.684435373
15	0.6842233429
16	0.6839484661
17	0.6836436651
18	0.6833824072
19	0.6831413277
20	0.6826750991
21	0.6823642383
22	0.6821543324
23	0.681866024
24	0.6815106207
25	0.6810926205
26	0.680899582
27	0.6806626881
28	0.680457655
29	0.6802080168
30	0.6799067143
31	0.6796573885
32	0.6793688927
33	0.6791778533
34	0.6790846451
35	0.6789562026
36	0.6788106428
37	0.6787031285
38	0.6784979704
39	0.6782480824
40	0.6780076276
41	0.6778495734
42	0.6776474764
43	0.6775896898
44	0.6775129742
45	0.677270083
46	0.6770984724
47	0.6769983297
48	0.6767322614
49	0.6765690221
50	0.6764247117
51	0.6762998302
52	0.6762055599
53	0.6760325749
54	0.6758745207
55	0.6757976801
56	0.6756631154
57	0.6755750299
58	0.6753804296
59	0.6752276855
60	0.6751952001
61	0.6750651958
62	0.6748655977
63	0.6747490249
64	0.6745455536
65	0.6744092397
66	0.6743768167
67	0.6743377092
68	0.6742278834
69	0.6741042513
70	0.6739118375
71	0.6738271879
72	0.6737554076
73	0.6735689911
74	0.6735102674
75	0.6733978178
76	0.6733009862
77	0.6731386839
78	0.6729744449
79	0.6729170956
80	0.6728073323
81	0.6727003802
82	0.6725863063
83	0.6724794792
84	0.6723540354
85	0.6721666194
86	0.6721051469
87	0.671998882
88	0.6718948036
89	0.6717359373
90	0.6716367317
91	0.6715219082
92	0.6714046482
93	0.6712694588
94	0.6711538856
95	0.6710100125
96	0.6709161796
97	0.6707804903
98	0.6706900309
99	0.6706299328
100	0.670430772
101	0.6703431238
102	0.6702955826
103	0.6702019995
104	0.6700745566
105	0.6700073367
106	0.6699121294
107	0.6698010541
108	0.6696728616
109	0.6695832767
110	0.6694577079
111	0.6693525051
112	0.6692830362
113	0.6692481143
114	0.6691871417
115	0.6689846699
116	0.6689386905
117	0.6687995028
118	0.6687765756
119	0.6687444025
120	0.6686274549
121	0.6685363707
122	0.6683891242
123	0.668256621
124	0.6681201822
125	0.6680284732
126	0.6679649392
127	0.6679309544
128	0.6677748369
129	0.6676999954
130	0.6676519544
131	0.6675684293
132	0.6674529186
133	0.6674040655
134	0.6673006743
135	0.6671180061
136	0.6670329193
137	0.6669666364
138	0.6668695549
139	0.6667988991
140	0.6664873512
141	0.6663975789
142	0.6662294042
143	0.6661712428
144	0.6660216848
145	0.6659109844
146	0.6657763572
147	0.665666219
148	0.665483176
149	0.6653942784
150	0.6652814539
151	0.6651536362
152	0.6650103254
153	0.6649329226
154	0.6647309505
155	0.6646046321
156	0.6643543068
157	0.6642438563
158	0.6641310943
159	0.6639704163
160	0.6638740844
161	0.6637197161
162	0.6636426256
163	0.6634743885
164	0.6633579406
165	0.6632709796
166	0.6629153889
167	0.6628229303
168	0.6627614579
169	0.6625761034
170	0.6625266256
171	0.6624159876
172	0.6622207001
173	0.6620236634
174	0.6617961403
175	0.6617094292
176	0.6616668233
177	0.6613845747
178	0.6612518217
179	0.6611349365
180	0.6609242809
181	0.6608289486
182	0.660745486
183	0.6605136524
184	0.6604213812
185	0.6602248443
186	0.660064666
187	0.6599282272
188	0.6597855411
189	0.659598125
190	0.6593303075
191	0.6591771886
192	0.6589556629
193	0.6587967341
194	0.6586168771
195	0.6582697202
196	0.6580773688
197	0.6578657761
198	0.657751015
199	0.6575596633
