iter	Passed	Remaining
0	2	585
1	5	536
2	8	575
3	12	592
4	14	581
5	17	563
6	20	553
7	23	558
8	25	549
9	28	538
10	30	531
11	34	533
12	36	532
13	40	542
14	44	547
15	47	544
16	50	541
17	52	535
18	55	531
19	58	526
20	61	528
21	64	524
22	67	518
23	70	516
24	73	514
25	76	513
26	79	508
27	81	502
28	84	497
29	87	496
30	90	493
31	93	489
32	96	486
33	98	481
34	101	479
35	104	477
36	107	472
37	110	470
38	112	465
39	115	460
40	118	457
41	121	455
42	123	451
43	126	448
44	129	445
45	132	443
46	135	439
47	138	437
48	141	437
49	145	436
50	149	435
51	151	431
52	154	429
53	158	427
54	162	429
55	166	428
56	170	426
57	173	423
58	175	419
59	179	418
60	182	415
61	185	412
62	188	409
63	190	405
64	194	403
65	196	399
66	199	395
67	202	392
68	205	389
69	208	387
70	212	385
71	215	382
72	217	379
73	220	376
74	223	372
75	226	369
76	229	367
77	232	364
78	236	361
79	239	359
80	243	357
81	246	354
82	249	351
83	252	348
84	255	346
85	259	343
86	262	340
87	266	338
88	270	336
89	274	335
90	278	333
91	281	330
92	284	327
93	288	324
94	291	321
95	294	318
96	297	315
97	300	313
98	305	311
99	308	308
100	311	305
101	314	301
102	316	298
103	319	294
104	322	291
105	324	288
106	327	284
107	329	281
108	332	277
109	335	274
110	337	270
111	340	267
112	342	263
113	344	260
114	347	256
115	350	253
116	352	250
117	355	246
118	357	243
119	360	240
120	362	236
121	365	233
122	368	230
123	371	227
124	374	224
125	376	220
126	378	217
127	381	214
128	384	211
129	387	208
130	389	205
131	391	201
132	393	198
133	396	195
134	398	192
135	401	188
136	403	185
137	406	182
138	408	179
139	411	176
140	414	173
141	417	170
142	419	167
143	422	164
144	425	161
145	427	158
146	430	155
147	433	152
148	435	149
149	438	146
150	441	143
151	443	140
152	446	137
153	448	134
154	451	131
155	454	128
156	456	125
157	460	122
158	462	119
159	465	116
160	468	113
161	471	110
162	473	107
163	476	104
164	479	101
165	482	98
166	485	95
167	487	92
168	490	89
169	493	87
170	495	84
171	498	81
172	501	78
173	504	75
174	507	72
175	510	69
176	512	66
177	515	63
178	518	60
179	521	57
180	524	55
181	527	52
182	529	49
183	533	46
184	536	43
185	539	40
186	542	37
187	545	34
188	547	31
189	550	28
190	552	26
191	555	23
192	558	20
193	561	17
194	564	14
195	566	11
196	570	8
197	573	5
198	575	2
199	578	0
