trade_date,open,high,low,close,vol,amount,pct_change,ma_bfq_5,ma_bfq_20,ma_bfq_60,ema_bfq_10,ema_bfq_60,macd_dif_bfq,macd_dea_bfq,macd_bfq,dmi_adx_bfq,dmi_pdi_bfq,dmi_mdi_bfq,roc_bfq,mtm_bfq,updays,downdays,atr_bfq,boll_upper_bfq,boll_lower_bfq,rsi_bfq_12,cci_bfq,wr_bfq,kdj_k_bfq,kdj_d_bfq,obv_bfq,mfi_bfq
2005-01-04,994.769,994.769,980.658,982.794,7412868.94,4431977.42,-1.7206,,,,982.794,982.794,0.0,0.0,0.0,,,,,,0.0,1.0,,,,,,,,,0.0,
2005-01-05,981.577,997.323,979.877,992.564,7119108.98,4529208.21,0.9941,,,,984.57036,983.11433,0.779,0.156,1.247,,,,,,1.0,0.0,,,,100.0,,,,,711.9109,
2005-01-06,993.331,993.788,980.33,983.174,6288029.05,3921015.42,-0.946,,,,984.31648,983.11628,0.632,0.251,0.762,,,,,,0.0,1.0,,,,91.965,,,,,83.10799,
2005-01-07,983.045,995.711,979.812,983.958,7298694.09,4737469.4,0.0797,,,,984.2513,983.14388,0.572,0.315,0.513,,,,,,1.0,0.0,,,,92.023,,,,,812.9774,
2005-01-10,983.76,993.959,979.789,993.879,5791697.99,3762932.89,1.0083,987.2738,,,986.00179,983.49585,1.31,0.514,1.591,,,,,,2.0,0.0,,,,92.75,,,,,1392.1472,
2005-01-11,994.189,999.554,991.092,997.135,5849079.98,3704076.71,0.3276,990.142,,,988.02601,983.94304,2.133,0.838,2.59,,,,,,3.0,0.0,,,,92.979,,,,,1977.0552,
2005-01-12,996.651,996.976,989.257,996.748,5014525.09,3093299.67,-0.0388,990.9788,,,989.61183,984.36287,2.722,1.215,3.015,,,,,,0.0,1.0,,,,92.6,,,,,1475.60269,
2005-01-13,996.078,999.473,992.695,996.877,6044065.84,3842173.3,0.0129,993.7194,,,990.93277,984.77317,3.163,1.604,3.118,,,,,,1.0,0.0,,,,92.611,,,,,2080.00927,
2005-01-14,996.617,1006.463,987.233,988.306,7297842.38,4162921.21,-0.8598,994.589,,,990.45517,984.889,2.789,1.841,1.896,,,,,,0.0,1.0,,,,83.628,,,31.92997,31.92997,1350.22504,
2005-01-17,979.111,981.525,965.078,967.452,7288188.76,4249807.84,-2.1101,989.3036,,,986.27278,984.3173,0.801,1.633,-1.665,,,,,,0.0,2.0,,,,66.506,,94.264,23.19877,29.01957,621.40616,
2005-01-18,967.374,974.872,960.293,974.689,7311847.82,4117944.08,0.748,984.8144,,,984.16664,984.00162,-0.189,1.269,-2.916,,,,,,1.0,0.0,,,,68.916,,68.82,25.85932,27.96615,1352.59094,
2005-01-19,974.333,974.333,965.258,967.21,6338091.19,3427951.27,-0.7673,978.9068,,,981.08361,983.45107,-1.559,0.703,-4.524,,,,,,0.0,1.0,,,,63.746,,85.018,22.23341,26.05524,718.78182,
2005-01-20,963.213,963.213,952.23,956.245,7727106.7,4399350.6,-1.1337,970.7804,,,976.5675,982.55907,-3.489,-0.135,-6.708,,,,-2.70138,-26.549,0.0,2.0,,,,56.917,,92.597,17.29002,23.1335,-53.92885,
2005-01-21,954.462,984.274,943.439,982.604,14450059.85,8152086.07,2.7565,969.64,,,977.66505,982.56054,-2.859,-0.68,-4.358,,,,-1.00346,-9.96,1.0,0.0,,,,66.366,-77.24286,37.857,32.24101,26.16934,1391.07714,49.83369
2005-01-24,1001.854,1001.854,986.239,998.133,14359461.61,8360161.5,1.5804,975.7762,,,981.38649,983.07111,-1.094,-0.763,-0.662,,25.79513,18.53792,1.5215,14.959,2.0,0.0,,,,70.521,72.51499,13.217,50.42161,34.25343,2827.0233,56.5803
2005-01-25,995.637,997.951,985.237,997.775,9862529.11,6157022.37,-0.0359,980.3934,,,984.36622,983.55321,0.273,-0.556,1.657,,25.17076,19.3727,1.40423,13.817,0.0,1.0,,,,70.303,59.48862,13.785,62.35267,43.61984,1840.77039,48.68862
